Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
More on Artemisinin-Resistant Plasmodium falciparum in Eastern India,"Rasmussen, C.; Valecha, N.; Ringwald, P.",,2019,03 14,New England Journal of Medicine,380,11,e14,30865817,https://dx.doi.org/10.1056/NEJMc1817141,,#5105,Rasmussen 2019,Exclusion reason: Correspondence; ,
Molecular Detection of Residual Parasitemia after Pyronaridine-Artesunate or Artemether-Lumefantrine Treatment of Uncomplicated Plasmodium falciparum Malaria in Kenyan Children,"Roth, J. M.; Sawa, P.; Omweri, G.; Makio, N.; Osoti, V.; de Jong, M. D.; Schallig, Hdfh; Mens, P. F.","Artemisinin resistance is rapidly rising in Southeast Asia and may spread to African countries, where efficacy estimates are currently still excellent. Extensive monitoring of parasite clearance dynamics after treatment is needed to determine whether responsiveness to artemisinin-based combination therapies (ACT) is changing in Africa. In this study, Kenyan children with uncomplicated falciparum malaria were randomly assigned to pyronaridine-artesunate (PA) or artemether-lumefantrine (AL) treatment. Parasite clearance was evaluated over 7 days following the start of treatment by quantitative polymerase chain reaction (qPCR) and direct-on-blood PCR nucleic acid lateral flow immunoassay (db-PCR-NALFIA), a simplified molecular malaria diagnostic. Residual parasitemia at day 7 was detected by qPCR in 37.1% (26/70) of AL-treated children and in 46.1% (35/76) of PA-treated participants (P = 0.275). Direct-on-blood PCR nucleic acid lateral flow immunoassay detected residual parasites at day 7 in 33.3% (23/69) and 30.3% (23/76) of AL and PA-treated participants, respectively (P = 0.692). qPCR-determined parasitemia at day 7 was associated with increased prevalence and density of gametocytes at baseline (P = 0.014 and P = 0.003, for prevalence and density, respectively) and during follow-up (P = 0.007 and P = 0.011, respectively, at day 7). A positive db-PCR-NALFIA outcome at day 7 was associated with treatment failure (odds ratio [OR]: 3.410, 95% confidence interval [CI]: 1.513-7.689, P = 0.003), but this association was not found for qPCR (OR: 0.701, 95% CI: 0.312-1.578, P = 0.391). Both qPCR and db-PCR-NALFIA detected substantial residual submicroscopic parasitemia after microscopically successful PA and AL treatment and can be useful tools to monitor parasite clearance. To predict treatment outcome, db-PCR-NALFIA may be more suitable than qPCR.",2018,10,American Journal of Tropical Medicine & Hygiene,99,4,970-977,30105967,https://dx.doi.org/10.4269/ajtmh.18-0233,,#5239,Roth 2018,Exclusion reason: Secondary analysis; Debashish Das (2020-12-15 00:23:36)(Select): Wrong pdf was uploaded. Need full-text.; ,
MOESM2 of Low risk of recurrence following artesunateaSulphadoxineapyrimethamine plus primaquine for uncomplicated Plasmodium falciparum and Plasmodium vivax infections in the Republic of the Sudan,"Hamid, Muzamil; Thriemer, Kamala; Elobied, Maha; Mahgoub, Nouh; Boshara, Salah; Elsafi, Hassan; Gumaa, Suhaib; Hamid, Tassneem; Abdelbagi, Hanadi; Basheir, Hamid; Marfurt, Jutta; Chen, Ingrid; Gosling, Roly; Price, Ric; Ley, Benedikt",Additional file 2. Database. Copyright: CC BY + CC0,2018,15-06-2018,Figshare,,,,DRCI:DATA2018157013605181,http://dx.doi.org/10.6084/m9.figshare.5995852.v1,,#5257,Hamid 2018,Exclusion reason: Figure/Table/Supplementary data; ,
MMV390048 POC in Patients With P. Vivax and P. Falciparum Malaria,,,,,,,,,,,,#5282,,Exclusion reason: Terminated; ,
MMV390048 Against Early Plasmodium Falciparum Blood Stage Infection in Healthy Participants,,,,,,,,,,,,#5284,,Exclusion reason: Healthy volunteer; ,
Methylene Blue Against Vivax Malaria in Ethiopia,,,,,,,,,,,,#5314,,Exclusion reason: Withdrawn; ,
METHOD OF TREATING MALARIA USING A THERAPEUTIC COMBINATION OF TELOMERASE INHIBITORS (IIMATINIB MESILATE) AND ARTEMETHER,"Morozova, L. F.; Turbabina, N. A.; Stepanova, E. V.; Maksimova, M. S.; Kondrashin, A. V.; Sergiev, V. P.; Morozov, E. N.; Tarasov, V. V.","NOVELTY - Present invention refers to areas of pharmacology and medicine and can be used for chemotherapy of tropical malaria caused by Plasmodium falciparum agent, especially in cases of its drug-resistant forms. Method of treating malaria involves administering a combination of preparations of Artemether and Iimatinib mesilate once a day in dosages of 0.33 mg/kg and 0.25 mg/kg respectively for three days. ADVANTAGE - Method provides higher clinical effectiveness in malaria by overcoming drug resistance and reducing side effects of the drugs used.1 cl, 1 tbl",,,,,,,DIIDW:202056070Q,,,#5318,,Exclusion reason: Figure/Table/Supplementary data; ,
Mass Screening and Treatment for Reduction of Falciparum Malaria,,,,,,,,,,,,#5381,,Exclusion reason: Healthy volunteer; ,
KAF156 and LUM-SDF combination phase 2 study pharmacokinetic run-in cohort results,"Fofana, B.; Grobusch, M.; Jain, J. P.; Abdoulaye, D.; Biguenet, S.; Winnips, C.","The safety and efficacy of different doses of the combination of KAF156 and Lumefantrine-Solid Dispersion Formulation (LUM-SDF) in patients with acute malaria are currently explored in the Phase 2 clinical study NCT03167242. The protocol for this study includes a PK run-in to exclude a potential pharmacokinetic interaction between the two drugs and the risk of overexposure. In this first part of the study, the pharmacokinetics and safety of the KAF156/LUM-SDF combination was evaluated to understand the impact of LUM-SDF on KAF156 (victim drug) exposure. In the scenario of an increase in KAF156 exposure beyond the acceptable limit, doses in Part A of study NCT03167242 would be adjusted as prespecified in the protocol. Six male and six female Malian adult/adolescent patients (>=12 years old and >=35.0 kg) infected with P. falciparum were enrolled in Bougoula-Hameau in the PK run-in and given a single dose of 200 mg KAF156 and 960 mg LUM-SDF. The drug-exposure results of these patients confirmed that there is no increase in KAF156 exposure beyond protocol-defined limits when given in combination with LUM-SDF in humans. The combination was well tolerated, and all 12 patients were clear of the initial malaria infection by Day 3 and remained parasite-free at Day 28. Consequently, dosing in study NCT03167242 is proceeding as planned, without any adaptation of the dose of KAF156.",2018,October,American Journal of Tropical Medicine and Hygiene,99 (4 Supplement),,232-233,627540755,,,#5534,Fofana 2018,Exclusion reason: Conference abstract; ,
In-vivo Efficacy and Safety of Artemether/Lumefantrine Vs Dihydroartemisinin-piperaquine for Treatment of Uncomplicated Malaria and Assessment of Parasite Genetic Factors Associated With Parasite Clearance or Treatment Failure,,,,,,,,,,,,#5590,,Exclusion reason: Duplicate; ,
In-vitro and ex-vivo susceptibility of plasmodium falciparum to antimalarial drugs in binh phuoc province of Vietnam from 2018 to 2019,"Pham, T. H.; Nguyen, T. T.; Ngo, T. V.; Do, T. T.; Thwaites, G.; Tran, H. T.","The reduced susceptibility of anti-malarial drugs to Plasmodium falciparum highlights the urgent need to monitor the efficacy of the current regimens and identify the alternative potent compounds for the treatment. To assess the susceptibility of Plasmodium falciparum to antimalarial drugs at the study sites, in-vitro and ex-vivo drug sensitivity assays in Plasmodium falciparum malaria patients were undertaken. A total of 69 Plasmodium falciparum isolates from patients with uncomplicated malaria in Binh Phuoc Province of Vietnam, where multidrug-resistant strains of P. falciparum have been documented, were collected from 2018 to 2019. Three in-vitro tests were used: The World Health Organization schizont inhibition assay (WHO microtest) in which parasites are exposed to different concentrations of antimalarial drugs; the ring-stage survival assay (RSA) parasites are exposed to 700 nM dihydroartemisinin for 6 hours whereas in the piperaquine survival assay (PSA) parasites are expressed to 200 nM piperaquine for 48 hours. The development of parasites from trophozoits to schizonts (microtest); from ring stages to trophozoits (RSA, PSA) were assessed. The microtest assay showed 33% (18/55) of parasites resistant to mefloquine (MQ), 82% (45/55) resistant to chloroquine (CQ), and 31% (17/55) resistant to piperaquine (PIP). Only 2% (1/55) of the isolates were resistant to quinine (QN). The RSA and PSA assay showed the resistance rates to DHA and PIP were 91% (63/69) and 83% (57/69), respectively. Lumefantrine (LM) and amodiaquine (AQ) with the low inhibitory concentrations - IC<inf>50</inf> (mean IC<inf>50</inf>: LM=33 nM and AQ=20.21 nM), were highly active against P.falciparum. This study reconfirmed that RSA and PSA; are useful surveillance tools to monitor the artemisinin and piperaquine resistance in Vietnam and SEA countries where the artemisinin and artemisinin-based combination (ACTs) therapy resistance are worsening, and help to adjust the management of malaria patients.",2019,November,American Journal of Tropical Medicine and Hygiene,101 (5 Supplement),,475,630643578,http://dx.doi.org/10.4269/ajtmh.abstract2019,,#5592,Pham 2019,Exclusion reason: Conference abstract; ,
Investigation of the Efficacy of Quinine Sulphate Administered Via Taste-Masked Pellets to Children With Falciparum Malaria,,,,,,,,,,,,#5593,,Exclusion reason: Not assessing efficacy of antimalarial drug; ,
"INVESTIGATION OF MOLECULAR MARKERS OF ANTIMALARIAL RESISTANCE DURING A THERAPEUTIC EFFICACY STUDY CONDUCTED IN THE DEMOCRATIC REPUBLIC OF THE CONGO, 2017","Mandoko, P.; Matangila, J.; Mukomena, E.; Mitashi, P.; Likwela, J.; Mbongi, D.; Souza, Samaly; Subramaniam, Gireesh; Lucchi, Naomi; Halsey, Eric; Moriarty, Leah; Udhayakumar, Venkatachalam; Mumba, D.; Mesia, G.",,2019,2019,American Journal of Tropical Medicine and Hygiene,101,,477-477,WOS:000507364504266,,,#5597,Mandoko 2019,Exclusion reason: Conference abstract; ,
Malaria and Nutritional Status among Children with Severe Acute Malnutrition in Niger: A Prospective Cohort Study,"Oldenburg, C. E.; Guerin, P. J.; Berthe, F.; Grais, R. F.; Isanaka, S.","Background The relationship between malaria infection and nutritional status is complex. Previous studies suggest malaria may increase the incidence and severity of malnutrition, while malnutrition may increase the risk of malaria infection. Here, we report bidirectional associations between malaria and nutritional status among children with uncomplicated severe acute malnutrition (SAM). Methods This study is a secondary analysis of a randomized, controlled trial for the treatment of uncomplicated SAM in Niger. Children aged 6-59 months were enrolled and followed for 12 weeks. Malaria infection was assessed using an histidine-rich protein 2 (HRP2) rapid diagnostic test at admission and at any follow-up visit with fever. We assessed the association of nutritional status at admission on malaria incidence using Cox proportional hazards regression and malaria infection at admission on nutritional recovery and weight and height gain using linear regression. Results Of 2399 children included in the analysis, 1327 (55.3%) were infected with malaria at admission. Malaria incidence was 12.1 cases/100 person-months among those without malaria infection at admission. Nutritional status at admission was not associated with malaria incidence. Children with malaria infection at admission and subsequently treated with an artemisinin-based combination therapy had increased weight gain (0.38 g/kg/day; 95% confidence interval [CI], 0.07 to 0.69) and reduced height gain (-0.002 mm/day; 95% CI, -0.004 to -0.0008). Conclusions Malaria infection was common among children treated for uncomplicated SAM. Malaria infection may impair height gain. Proper medical and nutritional management should be ensured to prevent adverse effects of malaria infection. Clinical Trials Registration NCT01613547. Copyright © The Author(s) 2018. Published by Oxford University Press for the Infectious Diseases Society of America.",2018,14-Sep,Clinical Infectious Diseases,67,7,1027-1034,624068765,http://dx.doi.org/10.1093/cid/ciy207,,#5772,Oldenburg 2018,Exclusion reason: Secondary analysis; ,
"&lt;A&gt; randomized, control and comparative study of polyherbal formulation use for Malaria [plasmodium falciparum]","Khan, Baloch; Khan, Usmanghani; Ejaz, Mohiuddin; Tasneem, Qureshi; Muhammad, Daniyal; Muhammad, Shinwari","Plasmodium falciparum is the most well-known reason for extreme and life-debilitating malaria. Falciparum malaria causes more than 1 million deaths annually. Malaria remains a noteworthy reason for major morbidity and mortality in the tropics, with Plasmodium falciparum accountable for the mainstream of the disease weight and Plasmodium vivax being the geologically greatest broadly dispersed cause of malaria. The controlling of severe malaria comprises quick direction of suitable parenteral anti-malarial agents and initial acknowledgement and treatment of the complications. This clinical trial was piloted in 100 patients, in which 50 received the test drug [Malarina] and 50 received the control drug [Quinine Bisulphate]. The age range of patients was 12 years to above 50 years. The sample paired t-test was applied to evaluate the significant level. Malarina was very effective in treating malaria sign and symptoms. The new treatment Malarina was safe and well tolerated in all patients",2018,2018/00,,31,,291-297,,,,#5791,Khan 2018,Exclusion reason: Full-text not available; Debashish Das (2020-12-19 04:57:39)(Select): Full-text not available.; ,
Integrated drug efficacy surveillance (IDES): The feasibility of using routine case management and follow-up activities to monitor drug efficacy and resistance in Thailand,"Saejeng, A.; Khantikul, N.; Sudathip, P.; Kitchakarn, S.; Prempree, P.; Sintasath, D.; Kongkasuriyachai, D.; Sawang, S.; Reithinger, R.; Gopinath, D.","Therapeutic efficacy studies (TES) are the World Health Organization's (WHO) recommended approach for national malaria programs to monitor the efficacy of antimalarial drugs. With declining malaria transmission, TES case enrollment has become challenging. In 2017, WHO and the Thai Ministry of Public Health recommended piloting integrated Drug Efficacy Surveillance (iDES) to ensure complete treatment of all cases in the context of malaria elimination. iDES integrates patient follow-up for all species with microscopy and dried blood spots (for molecular testing) as part of routine case surveillance to ensure compliance and adequate treatment outcomes. The approach included supervised radical treatment according to the national guidelines (dihydroartemisinin-piperaquine + primaquine for Plasmodium falciparum and mixed infection; chloroquine + primaquine for P. vivax and monitoring of parasite clearance during follow-up visits. Blood films were confirmed by an expert microscopist via the routine laboratory quality assurance system. Dried blood spots were collected at the time of diagnosis for detection of drug resistance markers and during each follow-up for confirmation of positive microscopic results. From May-December 2017, a total of 270 malaria cases were registered. Approximately 25% of the 88 migrant cases completed three or more follow-up visits. Among the 182 Thai cases, 78% of 25 Pf cases (78% on day 7, 87% on day 28, 65% on day 42, and 74% on day 60) and 63% of the 156 Pv cases (72% on day 14, 63% on day 28, 63% on day 60, and 62% on day 90) completed three or more follow-up visits. None of the patients exhibited delayed parasite clearance. While we are currently assessing what infrastructure and resources are needed to implement iDES in a malaria elimination context, as compared to TES, our results suggest that iDES can be used to monitor radical cure of cases and drug resistance through adequate routine case management.",2018,October,American Journal of Tropical Medicine and Hygiene,99 (4 Supplement),,429,627539668,,,#5827,Saejeng 2018,Exclusion reason: Conference abstract; ,
"Electrocardiographic effect of artemisinin-piperaquine, dihydroartemisinin-piperaquine, and artemether-lumefantrine treatment in falciparum malaria patients","Wu, W.; Lu, C.; Liang, Y.; Zhang, H.; Deng, C.; Wang, Q.; Xu, Q.; Tan, B.; Zhou, C.; Song, J.","INTRODUCTION: Artemisinin-based combination therapy (ACT), such as artemisinin-piperaquine (AP), dihydroartemisinin-piperaquine (DP), and artemether-lumefantrine (AL), is the first-line treatment for malaria in many malaria-endemic areas. However, we lack a detailed evaluation of the cardiotoxicity of these ACTs. This study aimed to analyze the electrocardiographic effects of these three ACTs in malaria patients.METHODS: We analyzed the clinical data of 89 hospitalized patients with falciparum malaria who had received oral doses of three different ACTs. According to the ACTs administered, these patients were divided into three treatment groups: 27 treated with AP (Artequick), 31 with DP (Artekin), and 31 with AL (Coartem). Electrocardiograms and other indicators were recorded before and after the treatment. The QT interval was calculated using Fridericia's formula (QTcF) and Bazett's formula (QTcB).RESULTS: Both QTcF and QTcB interval prolongation occurred in all three groups. The incidence of such prolongation between the three groups was not significantly different. The incidence of both moderate and severe prolongation was not significantly different between the three groups. The DELTAQTcF and DELTAQTcB of the three groups were not significantly different. The intra-group comparison showed significant prolongation of QTcF after AL treatment.CONCLUSIONS: Clinically recommended doses of DP, AL, and AP may cause QT prolongation in some malaria patients but do not cause torsades de pointes ventricular tachycardia or other arrhythmias.",2021,,Revista Da Sociedade Brasileira de Medicina Tropical,54,,e05362020,33605379,https://dx.doi.org/10.1590/0037-8682-0536-2020,,#5953,Wu 2021,Exclusion reason: Retrospective study; ,Jul-21
Artemisone,"Wishart, David; Knox, Craig; Law, Vivian; Jewison, Timothy; Liu, Philip; Ly, Son; Frolkis, Alex; Pon, Allison; Branco, Kelly; Mak, Christine; Neveu, Vanessa; Djoumbou, Yannick; Eisner, Roman; Guo, An Chi; Cheng, Dean; Shrivastava, Savita; Tzur, Dan; Gautam, Bijaya; Hassanali, Murtaza; Stothard, Paul; Chang, Zhan; Woolsey, Jennifer",Artemisone is under investigation in clinical trial NCT00936767 (Artemisone for the Treatment of Uncomplicated Falciparum Malaria in Western Cambodia).,2020,05-02-2021,DrugBank,,,,DRCI:DATA2021043021070361,,,#6000,Wishart 2020,Exclusion reason: Not assessing efficacy of antimalarial drug; ,Jul 21; Ongoing study
Tafenoquine for the prevention of Plasmodium vivax malaria relapse,"Watson, James A.; Nekkab, Narimane; White, Michael",,2021,May,The Lancet. Microbe,2,5,E175-E176,WOS:000647799700005,,,#6067,Watson 2021,Exclusion reason: Correspondence; ,Jul-21
"The risk of adverse clinical outcomes following treatment of Plasmodium vivax malaria with and without primaquine in Papua, Indonesia","Thriemer, K.; Poespoprodjo, J. R.; Kenangalem, E.; Douglas, N. M.; Sugiarto, P.; Anstey, N. M.; Simpson, J. A.; Price, R. N.","The widespread use of primaquine (PQ) radical cure for P. vivax, is constrained by concerns over its safety. We used routinely collected patient data to compare the overall morbidity and mortality in patients treated with and without PQ without prior testing of Glucose-6-Phosphate-Dehydrogenase (G6PD) deficiency in Papua, Indonesia, where there is a low prevalence of G6PD deficiency. Records were collated from patients older than 1 year, with P. vivax infection, who were treated with an artemisinin combination therapy (ACT). The risks of re-presentation, hospitalization, major fall in haemoglobin and death within 30 days were quantified and compared between patients treated with and without PQ using a Cox regression model. In total 26,216 patients with P. vivax malaria presented to the hospital with malaria during the study period. Overall 27.56% (95% Confidence Interval (95%CI): 26.96-28.16) of 21,344 patients treated with PQ re-presented with any illness within 30 days and 1.69% (1.51-1.88) required admission to hospital. The corresponding risks were higher in the 4,872 patients not treated with PQ; Adjusted Hazard Ratio (AHR) = 0.84 (0.79-0.91; p<0.001) and 0.54 (0.41-0.70; p<0.001) respectively. By day 30, 14.15% (12.45-16.05) of patients who had received PQ had a fall in haemoglobin (Hb) below 7g/dl compared to 20.43% (16.67-24.89) of patients treated without PQ; AHR = 0.66 (0.45-0.97; p = 0.033). A total of 75 (0.3%) patients died within 30 days of treatment with a mortality risk of 0.27% (0.21-0.35) in patients treated with PQ, compared to 0.38% (0.24-0.60) without PQ; AHR = 0.79 (0.43-1.45; p = 0.448). In Papua, Indonesia routine administration of PQ radical cure without prior G6PD testing, was associated with lower risk of all cause hospitalization and other serious adverse clinical outcomes. In areas where G6PD testing is not available or cannot be delivered reliably, the risks of drug induced haemolysis should be balanced against the potential benefits of reducing recurrent P. vivax malaria and its associated morbidity and mortality.",2020,11,PLoS Neglected Tropical Diseases [electronic resource],14,11,e0008838,33175835,https://dx.doi.org/10.1371/journal.pntd.0008838,,#6353,Thriemer 2020,Exclusion reason: Retrospective study; ,Jul-21
Diarrhea in children with plasmodium falciparum malaria: A case-control study on the prevalence and response to antimalarial treatment,"Vecchio, A. L.; Basile, F. W.; Bruzzese, D.; Di Dato, F.; Aol, P.; Omona, V.; Smarrazzo, A.; Guarino, A.","The role of Plasmodium in the etiology of acute diarrhea in developing countries remains controversial, and gastrointestinal (GI) symptoms are inconsistently reported in malaria. In this observational case-control study, we investigated the prevalence and risk factors for GI symptoms in hospitalized malarious children aged 1 month to 5 years in northern Uganda. Children with a diagnosis of Plasmodium falciparum malaria were enrolled as cases, and feverish children in whom malaria was excluded were enrolled as controls. Among 451 malarious children, 46.1% had GI symptoms at admission. Compared with controls, the frequency of diarrhea (24.8% versus 11.2%, P < 0.001) and vomiting (35.5% versus 17.5%, P < 0.001) was significantly higher in children with malaria, who had a higher chance of showing either vomiting (odds ratio [OR]: 3.22; 95% CI: 2.14-4.91) or diarrhea (OR: 3.14; 95% CI: 1.99-5.07) at hospital admission. A subgroup analysis performed in children with severe malaria, severe anemia, or high-grade fever confirmed these results. Diarrhea was more frequent in infants and children younger than 3 years than in older children. The analysis of 71 malarious children with diarrhea who received intravenous artesunate showed that the symptom resolved within the first 24 hours since the beginning of the treatment in 85.9% of cases. The 3-fold higher prevalence of diarrhea and vomiting in malarious children compared with febrile controls may provide rationale for incorporating malaria testing in the symptom-guided diagnostic approach of the young child with diarrhea and vomiting in malaria-endemic settings. Copyright © 2021 by The American Society of Tropical Medicine and Hygiene",2021,February,American Journal of Tropical Medicine and Hygiene,104,2,659-665,2011044637,http://dx.doi.org/10.4269/ajtmh.20-0287,,#6587,Vecchio 2021,Exclusion reason: Duplicate; ,Jul-21
"Evaluation of the effects of atazanavir-ritonavir on the pharmacokinetics of lumefantrine in patients living with HIV in Lagos University Teaching Hospital, South-Western Nigeria","Usman, S. O.; Oreagba, I. A.; Kadri, M. R.; Adewumi, O. O.; Akinyede, A.; Agbaje, E. O.; Abideen, G.; Busari, A. A.; Hassan, O. O.; Akinleye, M. O.; Akanmu, A. S.","PURPOSE: Atazanavir-ritonavir (ATVr)-based antiretroviral therapy and artemether-lumefantrine (AL) are commonly used drugs for the treatment of human immune deficiency virus (HIV) infection and malaria respectively. However, interaction of both drugs, with Cytochrome P 3A4 (CYP 3A4) isoenzyme, may spawn clinically significant pharmacokinetic interactions. This study evaluated the effects of atazanavir-ritonavir on the pharmacokinetics of lumefantrine.METHOD: In a case-control study, twenty participants having Plasmodium falciparum malaria were recruited and divided into two groups (ATVr-arm, n=10; and control-arm, n= 10). All the participants were administered six oral doses of AL 80-480 mg (Coartem). Thereafter, their blood samples were collected at different time intervals over seven days. The concentration of lumefantrine in each sample was quantified with high-performance liquid chromatography (HPLC) and used to determine its pharmacokinetic parameters which were compared between the test and control groups.RESULTS: ATVr increased the mean day 7 concentration of lumefantrine (ATVr 3847.09 +/- 893.35 ng/mL, control 1374.53 +/- 265.55 ng/mL, p = 0.016) and the area under its plasma concentration-time curve (ATVr 670529.57 +/- 157172.93 ng.h/mL, control 447976.28 +/- 80886.99 ng.h/mL, p = 0.224) by 179.88 % and 49.68 %, respectively, but decreased its mean maximum plasma drug concentration (Cmax) (ATVr 13725.70 +/- 2658.44 ng/mL, control 15380.48 +/- 2332.62 ng/mL, p = 0.645) by 10.76 %.CONCLUSION: ATVr increased drug exposure and day 7 plasma concentration of lumefantrine. AL is therefore considered effective for the treatment of malaria in patients taking ATVr-based regimen. However, the safety associated with the interaction requires further elucidation.TRIAL REGISTRATION: Clin ClinicalTrials.gov Identifier: NCT04531072, August 27, 2020. ""Retrospectively registered"".",2021,Mar-23,European journal of clinical pharmacology,23,,23,33755736,https://dx.doi.org/10.1007/s00228-021-03116-x,,#6684,Usman 2021,Exclusion reason: Less than 28 days follow-up; ,Jul-21
Randomized Controlled Trial of the Electrocardiographic Effects of Four Antimalarials for Pregnant Women with Uncomplicated Malaria on the Thailand-Myanmar Border,"Saito, M.; Yotyingaphiram, W.; Cargill, Z.; Gilder, M. E.; Min, A. M.; Phyo, A. P.; San, T. D.; Poe, H.; Chu, C.; White, N. J.; Nosten, F.; McGready, R.","Quinoline antimalarials cause drug-induced electrocardiographic QT prolongation, a potential risk factor for torsade de pointes. The effects of currently used antimalarials on the electrocardiogram (ECG) were assessed in pregnant women with malaria. Pregnant women with microscopy-confirmed parasitemia of any malaria species were enrolled in an open-label randomized controlled trial on the Thailand-Myanmar border from 2010 to 2016. Patients were randomized to the standard regimen of dihydroartemisinin-piperaquine (DP) or artesunate-mefloquine (ASMQ) or an extended regimen of artemether-lumefantrine (AL+). Recurrent Plasmodium vivax infections were treated with chloroquine. Standard 12-lead electrocardiograms were assessed on day 0, 4 to 6 h following the last dose, and day 7. QT was corrected for the heart rate by a linear mixed-effects model-derived population-based correction formula (QTcP = QT/RR<sup>0.381</sup>). A total of 86 AL+, 82 ASMQ, 88 DP, and 21 chloroquine-treated episodes were included. No patients had an uncorrected QT interval nor QTcP of >480 ms at any time. QTcP corresponding to peak drug concentration was longer in the DP group (adjusted predicted mean difference, 17.84 ms; 95% confidence interval [CI], 11.58 to 24.10; P < 0.001) and chloroquine group (18.31 ms; 95% CI, 8.78 to 27.84; P < 0.001) than in the AL+ group, but not different in the ASMQ group (2.45 ms; 95% CI, -4.20 to 9.10; P = 0.47) by the multivariable linear mixed-effects model. There was no difference between DP and chloroquine (P = 0.91). QTc prolongation resulted mainly from widening of the JT interval. In pregnant women, none of the antimalarial drug treatments exceeded conventional thresholds for an increased risk of torsade de pointes.",2021,03 18,Antimicrobial Agents & Chemotherapy,65,4,18,33495217,https://dx.doi.org/10.1128/AAC.02473-20,,#6794,Saito 2021,Exclusion reason: Duplicate; ,Jul-21
Study of Glucose-6-Phosphate Dehydrogenase (G6PD) Deficiency and Genotype Polymorphism of G6PD B and G6PD (A+/A-) in Patients Treated for Plasmodium vivax Malaria in a Tertiary Care Hospital in North East India,"Rajkhowa, P.; Nath, C.; Dutta, A.; Misurya, I.; Sharma, N.; Barman, B.; Longkumer, C.; Lynrah, K. G.; Sarmah, D.; Ruram, A.","Introduction Glucose-6-phosphate dehydrogenase (G6PD) enzyme deficiency is the most common enzymopathy in humans, and its distribution has been historically described to be closely associated with that of malaria. North East India provides optimal conditions for transmission of malaria and bears a considerable burden of Plasmodium vivax (P. vivax) malaria. Primaquine, a mainstay in the treatment of vivax malaria, may trigger episodes of acute hemolysis in patients with G6PD deficiency. The present study sought to delineate the frequency and genotypes of G6PD deficiency among patients suffering from vivax malaria infections. Methods Blood specimens from 80 individuals diagnosed with vivax malaria underwent enzyme assay for G6PD deficiency. Samples with deficient phenotype underwent isolation of DNA using a genomic DNA isolation kit (Qiagen India Pvt. Ltd., New Delhi, India). The genomic DNA underwent amplification, serial denaturation, annealing, extension, final extension followed by digestion with restriction endonucleases Nla III and Fok I. The digested products were subjected to horizontal agarose electrophoresis for the separation of digested fragments. Samples without nucleotide 376 adenine->guanine (A->G) mutation were classified as G6PD B. Those with the mutation were further classified into G6PD A(+) and G6PD A(-) based on the presence of Nla III site. Results Twenty-seven out of 80 individuals (33.75%) with P. vivax malaria were found to have G6PD deficiency, of which a majority (n=24) had G6PD B genotype. Three individuals had Asparagine->Aspartic Acid mutation at position 376 (A->G), of which G6PD A(+) and G6PD A(-) were present in two and one cases, respectively. Conclusion G6PD deficiency was noted in about a third of patients with vivax malaria. Since primaquine therapy is contraindicated in this group of patients, there is a rationale for looking into screening patients with vivax malaria from the region prior to primaquine therapy. Further large scale studies may substantiate this and help in better genotypic and geographic characterization of G6PD deficiency in the region.",2020,Nov-12,Cureus,12,11,e11463,33214970,https://dx.doi.org/10.7759/cureus.11463,,#7371,Rajkhowa 2020,Exclusion reason: Not assessing efficacy of antimalarial drug; ,Jul-21
